0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
پشتیبانی فنی,پشتیبانی سرور,پشتیبانی تلفنی,,,,,,,,,,,,
 SEO,SEO On Page,SEO Off Page,GOOGLE ANALYTICS,بازاریابی محتوا,Google Trends,,,,,,,,,
,,,,,,,,,,,,,,
.NET,PHP,Laravel,Node.js,Full-stack,,,,,,,,,,
Back-end,RestFul API, Git,Python, SQL,Flask,,,,,,,,,
React,react native, Git,تست نرم افزار,,,,,,,,,,,
OWASP,WAF, Lua,,,,,,,,,,,,
React,Javascript,ECMA Script 6,Express,Babel,webpack,,,,,,,,,
SDK,prestashop,Laravel,PHP,Wordpress,mvc.net,,,,,,,,,
Java, OOP,spring,Hibernate,jpa,RDBMS,,,,,,,,,
کارآموزی,UI,,,,,,,,,,,,,
AngularJS,CSS3,HTML5,SCSS,jQuery,npm,Javascript, Front-end,,,,,,,
Back-end, OOP,git,Design Patterns,RestFul API,MySQL,Laravel 5,PHP,,,,,,,
مدیریت پروژه,کنترل پروژه,,,,,,,,,,,,,
تست نرم افزار, Scrum,Javascript,Jest,,,,,,,,,,,
Back-end, OOP,PHP,Laravel,CSS,,,,,,,,,,
agile, Scrum,IOS,Android,,,,,,,,,,,
HTML,CSS,jQuery,Bootstrap,C#,,,,,,,,,,
Wordpress,woocommerce,API,,,,,,,,,,,,
,,,,,,,,,,,,,,
Django,PostgreSQL,orm,Python,,,,,,,,,,,
PHP,Laravel,RDBMS,MySQL,NoSQL,,,,,,,,,,
Laravel,Framework,JS,,,,,,,,,,,,
Android,Java,Kotlin,Android Studio,RestFul API, Git,,,,,,,,,
Kotlin,Anko,Layout, OOP,,,,,,,,,,,
Laravel,Bootstrap,jQuery,Javascript,CSS,HTML, AJAX,MySQL,PHP,,,,,,
React JS,Redux,Graphql,HTML,CSS, SASS,,,,,,,,,
Microservices,توسعه نرم افزار, PHP,REST API,,,,,,,,,,,
T-SQL,ETL,Sql Server,tunning,MySQL,Backup & Restore,,,,,,,,,
تست نرم افزار,مستندسازی,,,,,,,,,,,,,
HTML,CSS,Javascript,ES6, Front-end,,,,,,,,,,
طراحی سایت, Front-end,HTML,CSS,,,,,,,,,,,
