0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
PHP,MySQL,Laravel Framework,CSS,HTML,,,,,,,,,,
NET.,کارآموزی,,,,,,,,,,,,,
استقرار نرم افزار,تست نرم افزار,,,,,,,,,,,,,
تحلیل نرم افزار,مستندسازی,,,,,,,,,,,,,
Machine learning,Deep learning,,,,,,,,,,,,,
BPMN,bpms,HTML,CSS,Javascript,,,,,,,,,,
PHP,Bootstrap,MVC,Laravel,lumen,MySQL,git, HTML,CSS,jQuery,,,,,
HTML5,CSS3,Javascript,React,ReactJS, Front-end,,,,,,,,,
Java,RESTful,Microsoft SQL Server ,Bootstrap,MVC,,,,,,,,,,
 OOP,C#,Sql Server,C#.Net,,,,,,,,,,,
Back-end,API, Git,jQuery,HTML,CSS,Node.js,Java, OOP,,,,,,
Swift,IOS, Objective-C,RestFul API,Websocket,,,,,,,,,,
Full-stack,Java,spring,SOAP,REST,,,,,,,,,,
UI/UX,Responsive Design,storyboard,Prototype, Wireframes,,,,,,,,,,
Swift, Objective-C, Xcode,Web Services,SQLite, Git,,,,,,,,,
مدیریت فنی, Scrum,agile, Git, SQL,MySQL,React,,,,,,,,
,,,,,,,,,,,,,,
Javascript,CSS,HTML,,,,,,,,,,,,
Full-stack, Front-end,UI  UX,Javascript, SASS,CSS3,HTML5, Git,,,,,,,
Front-end,React,ecmascript,Javascript,HTML,CSS,,,,,,,,,
 SEO,Social Media,Google Analytics ,,,,,,,,,,,,
Back-end,Sql Server,C#,WebAPI,.NET Core,,,,,,,,,,
C#.Net,ASP.NET,MVC,AngularJS,,,,,,,,,,,
ES6,ES5,Back-end,Javascript,PHP, Git,MySQL,Redis,,,,,,,
 Front-end,Javascript,HTML,CSS,REST,,,,,,,,,,
,,,,,,,,,,,,,,
پشتیبانی,پشتیبانی فنی,oracle,Javascript,,,,,,,,,,,
PHP,HTML,jQuery,CSS, jQuery, OOP,,,,,,,,,
MVC,#C,PHP,Javascript,CSS,HTML,Bootstrap,,,,,,,,
Back-end,Laravel,PHP, JSON,Web Services,API,,,,,,,,,
 Front-end,CSS3,HTML5,jQuery,Javascript,,,,,,,,,,
Sql Server,Microsoft BI,NoSQL,,,,,,,,,,,,
Angular,CSS,HTML,C#,,,,,,,,,,,
HTML,CSS,Javascript,jQuery, Front-end,,,,,,,,,,
کارآموزی, PHP,Wordpress,,,,,,,,,,,,
 Front-end,CSS,HTML,PHP,Wordpress,Bootstrap,,,,,,,,,
Android,Android SDK,Kotlin,,,,,,,,,,,,
کارآموزی,Android,,,,,,,,,,,,,
Android,Android Studio,RESTful APIs ,Java, Git,,,,,,,,,,
HTML,CSS,Javascript,Java, Front-end,,,,,,,,,,
Android,React, Front-end,,,,,,,,,,,,
,,,,,,,,,,,,,,
پایگاه داده,T-SQL,Sql Server,Query,,,,,,,,,,,
Back-end, OOP, SQL,Entity Framework,RabbitMQ,NoSQL,,,,,,,,,
Python,Django,,,,,,,,,,,,,
ASP.NET,MVC,API,CSS,Javascript,jQuery,C#,ASP.NET MVC,,,,,,,
UI  UX,HTML,CSS,,,,,,,,,,,,
HTML,CSS,Javascript,Redux,ReactJS, Front-end,,,,,,,,,
تضمین کیفیت,REST API,وب سرویس,,,,,,,,,,,,
Angular, Git,RestFul API,,,,,,,,,,,,
C#,.NET,ASP.NET Core,,,,,,,,,,,,
C#,HTML,Javascript,Sql Server,Entity Framework,Web API, OOP,,,,,,,,
کارآموزی,#C,,,,,,,,,,,,,
مدیریت it,MySQL,PHP,Laravel Framework,CSS3,,,,,,,,,,
MySQL,PHP,HTML,CSS,,,,,,,,,,,
#C,ASP.NET MVC,Entity Framework,Sql Server,,,,,,,,,,,
,,,,,,,,,,,,,,
Redux,ReactJS,Javascript,React,,,,,,,,,,,
Wordpress,PHP,,,,,,,,,,,,,
 SEO,SEO On Page,SEO Off Page,webmaster,Google Analytics ,,,,,,,,,,
HTML5,typescript,Javascript,ReactJS,Angular,SPA, OOP,CSS,HTML,Less, SASS,REST API, Git,,
 Scrum,مستندسازی,,,,,,,,,,,,,
react native,ES6,React.js,Redux,REST API,,,,,,,,,,
ReactJS,Javascript,REST API,Redux,React,,,,,,,,,,
Back-end,C#,.NET,ASP.NET MVC,git,REST API,Design Patterns,Entity Framework,T-SQL,HTML,,,,,
Java,,,,,,,,,,,,,,
 SEO,,,,,,,,,,,,,,
Node js,React JS,,,,,,,,,,,,,
Back-end,.NET Core,MongoDB,MS SQL Server,,,,,,,,,,,
توسعه نرم افزار,C#,OpenCV,,,,,,,,,,,,
تحلیل نرم افزار,طراحی نرم افزار,BPMN,مستندسازی, Scrum,Visual Paradigm,,,,,,,,,
Wordpress, SEO,,,,,,,,,,,,,
,,,,,,,,,,,,,,
طراحی بازی,Game Design,,,,,,,,,,,,,
Android,Java,Android Studio,Material Design,,,,,,,,,,,
 Front-end,Bootstrap,Less, Git,HTML,CSS,Responsive Design,,,,,,,,
Core,Java,Hibernate,Angular,,,,,,,,,,,
Nodejs,ES5,ES6,Javascript,RestFul API,MongoDB,gitflow,,,,,,,,
Java,NoSQL, SQL,,,,,,,,,,,,
 Front-end,Responsive Design,UI  UX,,,,,,,,,,,,
Wordpress,Joomla,HTML,CSS,,,,,,,,,,,
MATLAB,C++,مستندسازی,Linux,MultiThreading,,,,,,,,,,
Wordpress,CSS,HTML,,,,,,,,,,,,
MATLAB,Python,,,,,,,,,,,,,
Unity,#C,Unity3D,unity 2d,,,,,,,,,,,
Android, OOP,MVVM,MVP,Dependency Injection,RESTful APIs ,,,,,,,,,
.NET,OOP,MVC,.NET Core,,,,,,,,,,,
C#,.NET Core,RESTful APIs ,Entity Framework,Design Patterns,Sql Server,T-SQL, Git, Scrum,,,,,,
Java,Object Oriented,پایگاه داده,,,,,,,,,,,,
#C,ASP.NET MVC,RestFul API, SQL,Sql Server,Entity Framework,,,,,,,,,
 Front-end,React,Redux, JavaScript,webpack,Babel,git, Scrum,,,,,,,
آشنا به مدیریت سایت majento,,,,,,,,,,,,,,
C#,Sql Server,ASP.NET,,,,,,,,,,,,
Golang, Git,Go,MultiThreading,API,پایگاه داده,,,,,,,,,
تضمین کیفیت,تست نرم افزار,,,,,,,,,,,,,
 SEO,google webmaster,GOOGLE ANALYTICS,Copywriting,تولید محتوا,,,,,,,,,,
Java,Java Core,JSF,,,,,,,,,,,,
,,,,,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار, SQL,,,,,,,,,,,,
PHP,Javascript,Laravel,MySQL,CSS,HTML,,,,,,,,,
 PHP,ssh,Linux,,,,,,,,,,,,
react native,ES6,Redux,JS,,,,,,,,,,,
 Front-end,HTML,Javascript,CSS,,,,,,,,,,,
Bootstrap,Responsive Design,Javascript,CSS3,HTML5,vue.js,,,,,,,,,
,,,,,,,,,,,,,,
Node.js,MongoDB,npm,Back-end,,,,,,,,,,,
Wordpress,HTML,CSS,,,,,,,,,,,,
PHP,MySQL,REST, OOP,,,,,,,,,,,
ASP.NET,Asp.net WebForm,MSSQL Server,API,Entity Framework,,,,,,,,,,
Wordpress,UI  UX,HTML5,Joomla,CSS3,jQuery,MySQL,,,,,,,,
PHP,MySQL,HTML,Android Studio,,,,,,,,,,,
Javascript,Vue,SPA, OOP,CSS,HTML,Unit Testing,REST API,,,,,,,
Android, Git,Android SDK,Kotlin,RestFul API,,,,,,,,,,
React,ReactJS,Full-stack,,,,,,,,,,,,
Python, SQL,,,,,,,,,,,,,
Nodejs,Databases, SQL,NoSQL,,,,,,,,,,,
Golang,Django,Redis,PostgreSQL,Python,Back-end,,,,,,,,,
PHP,HTML,CSS,Javascript,JS,,,,,,,,,,
rocket chat,,,,,,,,,,,,,,
CSS3,HTML5,Angular,jQuery,Bootstrap,Javascript,ecmascript,,,,,,,,
,,,,,,,,,,,,,,
Back-end,Node.js,Javascript, Git,پایگاه داده,,,,,,,,,,
کارآموزی,SharePoint,CRM,,,,,,,,,,,,
Android,Android Studio,Kotlin,MVVM,RESTful APIs , Git,,,,,,,,,
Back-end,Node js,MVC,MongoDB,git,,,,,,,,,,
Wordpress,HTML5,PHP,CSS3,,,,,,,,,,,
کنترل پروژه,مدیریت پروژه,,,,,,,,,,,,,
 PHP,Laravel Framework,HTML5, CSS3,JS, jQuery, MySQL,,,,,,,,
Wordpress,PHP,MySQL,plugin, Git,,,,,,,,,,
PHP,Bootstrap,Responsive,Object Oriented,,,,,,,,,,,
C#,Web API,Back-end,,,,,,,,,,,,
پشتیبانی,Microsoft Excel,مالی و حسابداری,,,,,,,,,,,,
پشتیبانی نرم افزار,پشتیبانی,Sql Server,,,,,,,,,,,,
.NET Core,Angular,,,,,,,,,,,,,
IOS,Swift, OOP,,,,,,,,,,,,
Mobile Programming,react native,Redis,Babel,webpack,Javascript,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار,Microsoft Word,Microsoft Excel,,,,,,,,,,,
,,,,,,,,,,,,,,
 Front-end,HTML5,CSS3,Javascript,jQuery, AJAX,Responsive,Bootstrap 4,,,,,,,
SAP ,abap,,,,,,,,,,,,,
تست نرم افزار,TSQL,C#,MVC, SQL,,,,,,,,,,
Python, SQL,Full-stack,,,,,,,,,,,,
 Front-end,ReactJS,Redis, SASS,,,,,,,,,,,
#C, LINQ, SQL,,,,,,,,,,,,
Android,RestFul API, OOP,Java,,,,,,,,,,,
 Front-end,HTML,jQuery,CSS,React.js,vue.js,,,,,,,,,
React.js, Front-end, HTML,CSS,,,,,,,,,,,
 Front-end,HTML,Javascript,CSS,,,,,,,,,,,
ASP.NET MVC,C#,Bootstrap,jQuery,CSS,HTML,,,,,,,,,
Java,REST API,Design Patterns,jpa,Hibernate,,,,,,,,,,
CRM,Sql Server,Microsoft CRM,,,,,,,,,,,,
مدیریت فنی,PHP,ASP.NET MVC,Sql Server,Entity Framework,RestFul API,,,,,,,,,
Android,,,,,,,,,,,,,,
 OOP,MultiThreading, ASP.NET MVC,XML, JSON,Javascript,ReactJS,#C,,,,,,,
تست نرم افزار,Software Testing,,,,,,,,,,,,,
++C, OOP,طراحی الگوریتم,opengl,,,,,,,,,,,
کارآموزی,برنامه نویسی موبایل,xamarin,,,,,,,,,,,,
xamarin,#C,SignalR,MVVM,,,,,,,,,,,
.NET,C#, SQL,Bootstrap,Javascript,ASP.NET,,,,,,,,,
UI  UX,HTML5,Javascript,CSS,,,,,,,,,,,
Android,,,,,,,,,,,,,,
Nodejs,JSON, JavaScript, jQuery,ASP.NET MVC,,,,,,,,,,
پشتیبانی فنی,#C,.Net Framework 4,T-SQL,Troubleshooting,,,,,,,,,,
C#, JSON,XML,,,,,,,,,,,,
C#, SQL,NoSQL,Design Patterns,,,,,,,,,,,
کارآموزی,PHP,,,,,,,,,,,,,
C#, SQL,NoSQL,مدیریت زمان,Design Patterns,,,,,,,,,,
,,,,,,,,,,,,,,
C#, SQL,NoSQL,,,,,,,,,,,,
Data Warehouse,Sql Server,ETL,SSIS,,,,,,,,,,,
Back-end,PHP, OOP,Laravel,,,,,,,,,,,
 Front-end,Javascript,jQuery,HTML5,ReactJS,,,,,,,,,,
C#,Sql Server,پایگاه داده,,,,,,,,,,,,
.NET,C#,ASP.NET,Sql Server,#C, Windows,,,,,,,,,
Wordpress,HTML,PHP,jQuery,,,,,,,,,,,
HTML,CSS,Javascript,jQuery, Front-end,,,,,,,,,,
Microsoft CRM,OPEN SOURCE,کارآموزی,,,,,,,,,,,,
 Front-end,CSS,HTML,Javascript,Library, jQuery,Bootstrap,,,,,,,,
Laravel,PHP,Javascript,,,,,,,,,,,,
react native,Javascript,Redux,JSX,ES6, Git,,,,,,,,,
PHP,Laravel,jQuery, Front-end,CSS,,,,,,,,,,
CSS3,HTML5,AngularJS,React,Bootstrap,Javascript,jQuery,,,,,,,,
PHP, SQL,Object Oriented,MVC,Design Patterns,Laravel Framework,Symfony,Yii Framework, Scrum,,,,,,
,,,,,,,,,,,,,,
کارآموزی,Android,,,,,,,,,,,,,
React, Front-end,ReactJS,jQuery,HTML,Javascript,,,,,,,,,
Wordpress,CSS,HTML,,,,,,,,,,,,
Laravel,HTML,CSS,Javascript,,,,,,,,,,,
مدیریت فنی,Databases,Django,Java, OOP,,,,,,,,,,
شبکه,عیب یابی,ESX,Linux,windows server,,,,,,,,,,
 Front-end,HTML,CSS,jQuery,,,,,,,,,,,
Back-end,MongoDB,Docker,RESTful,Java,,,,,,,,,,
Blockchain,ethereum,unit,Solidity,,,,,,,,,,,
++C,Linux,,,,,,,,,,,,,
IOS, Objective-C,RestFul API,Websocket,,,,,,,,,,,
تست نرم افزار,تحلیل نرم افزار,مستندسازی,,,,,,,,,,,,
Artificial Intelligence, Python, C++,,,,,,,,,,,,
Laravel, OOP,CentOS 7,,,,,,,,,,,,
#C, Git,TFS,Sql Server,.NET,,,,,,,,,,
Wordpress,تولید محتوا,,,,,,,,,,,,,
 OOP,Angular.js, JavaScript,MVC,ASP.NET,.NET,,,,,,,,,
ASP.NET,MVC,ASP.NET Core,Bootstrap,Javascript,CSS,,,,,,,,,
MVC,.NET, SQL,Javascript,HTML,CSS,,,,,,,,,
JavaSE,JavaEE, OOP,Java,Back-end,,,,,,,,,,
Unity,C#, OOP,,,,,,,,,,,,
تحلیل نرم افزار,طراحی نرم افزار,,,,,,,,,,,,,
#C,HTML,CSS,Javascript,NetCore.,Entity Framework,Sql Server,ASP.NET Core,,,,,,,
ASP.NET MVC,JWT,API,C#,.NET,,,,,,,,,,
,,,,,,,,,,,,,,
Android,Android Studio,Java,Kotlin,,,,,,,,,,,
بلاکچین,‌dlt,Solidity,,,,,,,,,,,,
DevOps,Linux,Docker,Databases,Nginx,,,,,,,,,,
SOLID, OOP,Pattern Design,Python,Django,database,Caching,,,,,,,,
PHP,Wordpress,,,,,,,,,,,,,
Algorithms,prototypes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Front-end,Redux,React,RestFul API,React.js,,,,,,,,,,
Wordpress, SEO,Google Analytics ,google webmaster,,,,,,,,,,,
هوش مصنوعی ,,,,,,,,,,,,,,
PHP,Laravel, Git,,,,,,,,,,,,
PHP,CSS,HTML,,,,,,,,,,,,
Python,Django,Linux,Node.js,,,,,,,,,,,
ES6,Javascript,ReactJS,HTML5,CSS, Front-end,,,,,,,,,
Wordpress,Javascript,CSS,HTML5,PHP,,,,,,,,,,
Full-stack,.NET Core,Design Pattern,Object Oriented,JSON,REST,CSS,HTML,typescript,,,,,,
IT,PHP,CSS,Python,jQuery,Javascript,,,,,,,,,
تست نرم افزار,مستندسازی,سناریو تست,,,,,,,,,,,,
 Front-end,Javascript,JS,Canvas,svg,Angular,,,,,,,,,
 Front-end,React,JSX,Redux,ecmascript,,,,,,,,,,
Java,Hibernate,spring,Javascript,jQuery,Linux,,,,,,,,,
 Front-end,React,Javascript,Node.js, SASS,Less,,,,,,,,,
PHP,Laravel, OOP,,,,,,,,,,,,
ASP.NET,C#,TSQL,,,,,,,,,,,,
++C,Qt,Java,C#,,,,,,,,,,,
PHP,Laravel,RESTful,,,,,,,,,,,,
کنترل پروژه,,,,,,,,,,,,,,
مدیریت سایت,Wordpress,CMS,,,,,,,,,,,,
ASP.NET,Sql Server,Web API,Entity Framework,,,,,,,,,,,
,,,,,,,,,,,,,,
react native,ES5,ES6, Git,,,,,,,,,,,
 Front-end,Javascript, Git,,,,,,,,,,,,
 CSS,HTML,CSS,Bootstrap,,,,,,,,,,,
شبکه,پایگاه داده,امور فنی,,,,,,,,,,,,
Wordpress,woocommerce,Responsive Design,PSD,jQuery,Javascript,PHP,CSS,HTML,,,,,,
 Front-end,jQuery,Javascript,CSS,HTML,,,,,,,,,,
C#, SQL,,,,,,,,,,,,,
Wordpress,CSS,UI,,,,,,,,,,,,
,,,,,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار, SQL,,,,,,,,,,,,
Back-end,Linux,Javascript,Nodejs,PostgreSQL, Git,JS,REST API,,,,,,,
امور فنی,CCNP,Switching,Juniper,MySQL,NoSQL,,,,,,,,,
.NET,C#,Devexpress,Dapper.net,MSSQL Server,.NET Framework ,,,,,,,,,
Javascript,jQuery,Bootstrap,CSS3,HTML5,typescript,,,,,,,,,
Front-end,ReactJS,CSS,HTML,Javascript, Git,,,,,,,,,
Java,PrimeFaces,spring framework,Hibernate,,,,,,,,,,,
 Front-end,typescript, Git,JS,CSS,HTML,,,,,,,,,
کارآموزی,پشتیبانی سایت,,,,,,,,,,,,,
 SEO,GOOGLE ANALYTICS,Google Adwords ,google webmaster,SEO Off Page,,,,,,,,,,
.NET Framework ,#C,Entity Framework, OOP,,,,,,,,,,,
 SQL,Query,,,,,,,,,,,,,
Full-stack, OOP,API, SQL,,,,,,,,,,,
 Scrum,UML,,,,,,,,,,,,,
کارآموزی,react native,,,,,,,,,,,,,
Python,TDD, OOP,Django,RESTful,,,,,,,,,,
UI/UX,zepline,Adobe XD,Responsive Design,,,,,,,,,,,
کارآموزی,Golang,,,,,,,,,,,,,
Laravel,MySQL,PHP,HTML5,CSS3,RestFul API, Git,,,,,,,,
C#,Back-end,OOP,Domain Driven Design,,,,,,,,,,,
.NET,ASP.NET Core,ASP.NET MVC,Asp.net WebForm,,,,,,,,,,,
Back-end,Linux,GNU-Linux,JS,CSS,HTML,Python,Django,,,,,,,
,,,,,,,,,,,,,,
RestFul API,Laravel,PHP, SQL,,,,,,,,,,,
Back-end, SQL,NoSQL,Framework,,,,,,,,,,,
 Front-end,jQuery,AngularJS,REST API, SASS,,,,,,,,,,
Laravel,PHP,MySQL,Design Patterns,MVC, OOP,,,,,,,,,
react native,ReactJS,MySQL, Git,,,,,,,,,,,
IOS,Swift,Web Services,Auto Layout,Realm,SnapKit, Git,OOP,,,,,,,
react native,Redux, Front-end,HTML5,CSS3,Bootstrap, SASS,,,,,,,,
,,,,,,,,,,,,,,
Full-stack,Javascript,HTML,CSS,MVC, OOP,,,,,,,,,
Android,Java,RestFul API,UI  UX,,,,,,,,,,,
پشتیبانی فنی,میزبانی وب,plesk,whmcs,,,,,,,,,,,
Javascript,HTML,CSS, Git,,,,,,,,,,,
Android,React-Native,,,,,,,,,,,,,
react native,ES6,,,,,,,,,,,,,
PHP, SQL,CSS,HTML,Javascript,,,,,,,,,,
Javascript,C#, OOP,REST API,HTML5,CSS3,,,,,,,,,
Object Oriented,MVC,WPF,.NET,C#,,,,,,,,,,
MVC,ASP.NET,Angular, OOP,,,,,,,,,,,
PHP,Laravel Framework,,,,,,,,,,,,,
PHP,MySQL,,,,,,,,,,,,,
JAVA EE,معماری سرویس گرا, CSS,Javascript,,,,,,,,,,,
برنامه نویسی موبایل,react native,Responsive Design,HTML,CSS,Javascript,,,,,,,,,
CSS,HTML,Javascript,Bootstrap,ReactJS,Angular,,,,,,,,,
,,,,,,,,,,,,,,
تحلیل سیستم,مستندسازی,,,,,,,,,,,,,
پردازش تصویر,MATLAB,OpenCV,,,,,,,,,,,,
 Front-end,HTML,Javascript,CSS,Angular,,,,,,,,,,
Back-end,Node.js,NoSQL,,,,,,,,,,,,
DevOps,Linux,,,,,,,,,,,,,
Wordpress,,,,,,,,,,,,,,
Web Services,,,,,,,,,,,,,,
ReactJS,Redux,Axios,HTML,CSS,,,,,,,,,,
دیجیتال مارکتینگ,SEO,Google Analytics ,Google Adwords ,Email Marketing,Microsoft Office ,,,,,,,,,
Web Services,C#,WPF,,,,,,,,,,,,
React.js, SASS,Graphql,Single Page Application, Front-end,,,,,,,,,,
هوش مصنوعی ,Python,,,,,,,,,,,,,
UI  UX,,,,,,,,,,,,,,
Back-end,Python,Django,DevOps,,,,,,,,,,,
CSS3,Photoshop,Wordpress,HTML5,woocommerce, SEO,Bootstrap,,,,,,,,
Angular,Javascript,RestFul API,,,,,,,,,,,,
#C,.NET Framework , SQL,,,,,,,,,,,,
HTML,jQuery,CSS,Bootstrap,Javascript,,,,,,,,,,
Full-stack, Git,Javascript,RestFul API,Java,,,,,,,,,,
 Front-end,git,Javascript,CSS,HTML,TFS,,,,,,,,,
Back-end,MySQL,PHP,Yii2 Framework,,,,,,,,,,,
Front-end,کارآموزی,,,,,,,,,,,,,
Design Patterns,Java, Git,Bootstrap,Unit Testing,JSF,Full-stack,,,,,,,,
مدیریت سایت,PHP,Wordpress,JS,jQuery,CSS,Bootstrap,,,,,,,,
,,,,,,,,,,,,,,
.NET Core,C#, OOP,,,,,,,,,,,,
Back-end,Javascript,ES6,MongoDB,,,,,,,,,,,
Wordpress,PHP,HTML,,,,,,,,,,,,
Javascript,React.js,HTML, SASS,CSS,Bootstrap,RESTful,ES6, Git,,,,,,
کارآموزی,react native,,,,,,,,,,,,,
کارآموزی,Wordpress,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Android,RestFul API,Kotlin,Websocket, OOP,,,,,,,,,,
JAVA EE,Java Core,Design Patterns,J2EE,Hibernate,jpa,,,,,,,,,
کارآموزی,تست نرم افزار,,,,,,,,,,,,,
ES6,Node.js, Git,Server Administration,,,,,,,,,,,
Wordpress,CSS3,HTML5,jQuery,Javascript,,,,,,,,,,
Python,Javascript,jQuery,CSS3,HTML5,,,,,,,,,,
react native,HTTP,,,,,,,,,,,,,
Redux,ReactJS,Nodejs,Axios,React, SASS,CSS3,HTML5,Javascript,,,,,,
SSIS,Sql Server,Data Warehouse,bi,T-SQL,,,,,,,,,,
 Front-end,AngularJS,jQuery,CSS,Javascript,Bootstrap,,,,,,,,,
گرافیست,Photoshop,نرم افزار فلش,,,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار,,,,,,,,,,,,,
Java, SQL,orm,Framework,Object Oriented,,,,,,,,,,
ASP.NET Core,ASP.NET MVC,ASP.NET,,,,,,,,,,,,
MVC,Entity Framework,Sql Server,,,,,,,,,,,,
پردازش تصویر,,,,,,,,,,,,,,
 WordPress, PHP, JavaScript,CSS,HTML,SEO,,,,,,,,,
CSS3,HTML5,Javascript,React,Redux,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار,++C,,,,,,,,,,,,
HTML5,CSS3,CSS,Javascript,React.js,Redux,,,,,,,,,
Pl/sql,oracle,,,,,,,,,,,,,
 Front-end,Angular, Git,ES6,RxJs,,,,,,,,,,
PHP,Wordpress,HTML,CSS,jQuery,ووکامرس,,,,,,,,,
Java,Core,J2EE,,,,,,,,,,,,
,,,,,,,,,,,,,,
کارآموزی,هوش تجاری,Business Inteligence,,,,,,,,,,,,
برنامه نویسی وب,Javascript,HTML,,,,,,,,,,,,
برنامه نویسی وب,MVC,HTML,jQuery,,,,,,,,,,,
NET.,#C,.NET Framework ,Object Oriented Analysis,WPF,WCF,Entity Framework,Linq,Sql Server,Unit Testing,git,,,,
Back-end,Django,Python,API,HTTP, SQL,,,,,,,,,
MVC,.NET, C#,TFS,Continuous Deployment,,,,,,,,,,
,,,,,,,,,,,,,,
C++, ARM,Embedded Developer ,,,,,,,,,,,,
کارآموزی, WordPress,,,,,,,,,,,,,
Phyton,anomaly,,,,,,,,,,,,,
C#,Javascript,,,,,,,,,,,,,
 SEO,google webmaster,Google Analytics ,Wordpress,Copywriting,اصول نگارشی ,تولید محتوا,,,,,,,,
C#,Unity3D, Game Development,,,,,,,,,,,,
IOS,Swift,xib,iOS Human Interface Guidelines, Git,,,,,,,,,,
PHP,Laravel,Object Oriented,MVC,MySQL,API,Databases,,,,,,,,
Laravel,PHP,MVC,MySQL,,,,,,,,,,,
 Scrum,BPMN,تهیه گزارش ,,,,,,,,,,,,
UI  UX,طراحی,Design Patterns,Illustrator,Photoshop,Adobe XD,,,,,,,,,
ASP.NET Core,Angular,WebAPI, AJAX,CSS,Javascript,jQuery,,,,,,,,
Node.js,MongoDB,MySQL,REST API,express.js,,,,,,,,,,
تحلیل سیستم,پایگاه داده,مدلسازی,Visual Paradigm,,,,,,,,,,,
پشتیبانی نرم افزار,Sql Server,,,,,,,,,,,,,
.NET, OOP,MSSQL Server,,,,,,,,,,,,
پایگاه داده,Sql Server,MySQL,oracle,مستندسازی,,,,,,,,,,
PHP,MySQL, OOP, Git,,,,,,,,,,,
,,,,,,,,,,,,,,
CSS3,HTML5,JS,Bootstrap, Front-end,,,,,,,,,,
Full-stack,Javascript, jQuery,RestFul API,TDD,,,,,,,,,,
Android,Android Studio, Git,,,,,,,,,,,,
 Front-end,React,Javascript,jQuery,HTML5,CSS3,,,,,,,,,
Java,HTML,CSS,Javascript,PrimeFaces,,,,,,,,,,
.NET,Javascript,jQuery,CSS3,HTML5,Sql Server,ASP.NET,,,,,,,,
پشتیبانی سایت,HTML,CSS,Wordpress,,,,,,,,,,,
Java, OOP,Spring MVC,oracle,,,,,,,,,,,
RESTful,RestFul API,Redux,vue.js,MySQL,Back-end,,,,,,,,,
Full-stack,C#, OOP,SOLID,RestFul API, JavaScript,Javascript,,,,,,,,
مدیریت محصول,توسعه نرم افزار,agile,,,,,,,,,,,,
Service Desk,NoSQL,icdl,,,,,,,,,,,,
React,Angular,CSS,HTML,,,,,,,,,,,
Back-end,C#,SOA,orm,API,,,,,,,,,,
برنامه نویسی اپلیکیشن,Flutter,dart,,,,,,,,,,,,
PHP,Laravel,MySQL,,,,,,,,,,,,
 Front-end,Javascript,Angular,HTML,CSS,,,,,,,,,,
Back-end,.NET,C#,ASP.NET Core,REST,,,,,,,,,,
Android,Java,Android SDK,RestFul API, Git,,,,,,,,,,
#C,C#.Net, OOP,MSSQL Server,,,,,,,,,,,
Node.js,ES6,MySQL,MongoDB,,,,,,,,,,,
,,,,,,,,,,,,,,
Java,Java Core,,,,,,,,,,,,,
Java,Restfull API,Web Services,Hibernate,spring framework,,,,,,,,,,
 Front-end,Javascript,ES6,CSS,HTML,,,,,,,,,,
طراحی سایت,Wordpress,Joomla,,,,,,,,,,,,
UX/UI,Sketch,Usability Test,Persona,userflow,storyboard,,,,,,,,,
.NET,MVC,ارائه گزارش,,,,,,,,,,,,
ASP.NET, OOP,Sql Server,Javascript,jQuery,Angular,React,,,,,,,,
Python,pyqt,,,,,,,,,,,,,
UI,HTML,Javascript,CSS, SASS,React,,,,,,,,,
PHP,MySQL,MVC, Git,Linux,Full-stack,,,,,,,,,
QA,SCRUM,agile,,,,,,,,,,,,
طراحی,UI/UX,,,,,,,,,,,,,
ASP.NET,#C,Entity Framework,SQLSERVER,,,,,,,,,,,
Jira,Project Management,agile, Scrum,مدیریت پروژه,,,,,,,,,,
IOS,MVVM,Frameworks,RESTful APIs , JSON,APIs,,,,,,,,,
Javascript,ReactJS,C#,CSS,HTML5,MVC,,,,,,,,,
کارآموزی,طراحی سایت,,,,,,,,,,,,,
Wordpress,CSS,jQuery, SEO,,,,,,,,,,,
Full-stack,PHP,RestFul API,Laravel Framework,HTML,Bootstrap,jQuery,Blade ,CSS,,,,,,
HTML,CSS,Bootstrap,Javascript,,,,,,,,,,,
Unity,C#, OOP,,,,,,,,,,,,
,,,,,,,,,,,,,,
CSS,HTML,UI,Responsive,Javascript,jQuery,,,,,,,,,
Back-end,API,Python,Node.js,Javascript, Scrum,Agile Development,,,,,,,,
HTML,CSS, SASS,Javascript,PHP,Bootstrap,,,,,,,,,
Wordpress,OpenCart,Debuggin,HTML,,,,,,,,,,,
Wordpress,Visuall Composer,jQuery,CSS,HTML, SEO,,,,,,,,,
Python,C++,Linux, ARM, AVR,,,,,,,,,,
UI  UX, Wireframes,Prototype,User Interface,HTML, Front-end,CSS,,,,,,,,
Software Testing,تست نرم افزار,PHP,git,,,,,,,,,,,
Javascript,HTML,CSS,ES6,,,,,,,,,,,
Prototype,Mockup, Wireframes,Sketch,Design Patterns,Photoshop,Invision,Balsamiq,Azure,Responsive Web Design,Javascript,CSS,HTML,,
PHP,MVC,Object Oriented,NoSQL,Entity Framework, OOP,Sql Server,,,,,,,,
Full-stack,PHP,Laravel,Yii,MySQL,PostgreSQL,,,,,,,,,
